No,serialID,speaker,dialogue
1,TWTXQ81338V,QH,"나 마검하고 별로 친하지도 않고, 남 일에 관여하는 것도 별론데 마검상태가 너무 불안해 보여서. <move/> 털어놔 봐."
2,TWTXQ81338V,BG,<move/> 네?
3,TWTXQ81338V,QH,뭘 그렇게 놀라? 죄지은 사람처럼.
4,TWTXQ81338V,BG,<move/>
5,TWTXQ81338V,QH,"말하기 싫음 안 해도 돼. 난 그냥 눈에 띌 정도로 힘들어보여서,그럴 때 모른 척 하는 것도 예의가 아닌 거 같아서 한번 시도 해본거야."
6,TWTXQ81338V,BG,<move/> 선배님 검사 일 하면서요 <pause/> 양심에 걸리는 일은없었어요?
7,TWTXQ81338V,QH,안 어울리게 검사관에 대해서 고민했던 거야?
8,TWTXQ81338V,BG,우리는 실체적 진실을 찾는 사람들이다 <pause/> 그러잖아요?
9,TWTXQ81338V,QH,<move/>
10,TWTXQ81338V,BG,그 진실이 무서운 거면 어떻게 해요? <pause/> 그 진실이 나를 아니면 내 가족을해치는 거면 <pause/> <move/> 검사들은 어떻게 해요?선배님은 어떡하실 거 같아요? 그런 경우 없었어요?
11,TWTXQ81338V,QH,"질문은 거창한데, 답은 참 간단하다."
12,TWTXQ81338V,BG,간단해요?
13,TWTXQ81338V,QH,"정답 없음. 검사들 개인마다 생각, 가치관이 다르니까. 각자 선택."
14,TWTXQ81338V,BG,선배님이라면요?
15,TWTXQ81338V,QH,"나 <pause/> 예를 좀 들어볼래? 구체적으로 누가, 어떤 죄를 어떻게 지었는지."
16,TWTXQ81338V,BG,<move/> 아니 실제 사례는 아니구요 <pause/>
17,TWTXQ81338V,QH,서변호사 때문이지?
18,TWTXQ81338V,BG,<move/> 네?
19,TWTXQ81338V,QH,그 사람한테 무슨 일 있어? 변호하다 문제 생겼대?
20,TWTXQ81338V,BG,아니에요 <pause/>
21,TWTXQ81338V,QH,헤어졌어?
22,TWTXQ81338V,BG,그 사람은 헤어지고 말고 그런 게 아닌 사람이에요.
23,TWTXQ81338V,QH,헤어지고 말고가 아닌? 그게 무슨 말이야?
24,TWTXQ81338V,BG,그냥 아닌 사람이에요. 아예 아닌 사람이요 <pause/>
25,TWTXQ81338V,QH,그렇게 나쁜 놈이야?
26,TWTXQ81338V,BG,<move/> 그런 게 아니라요 <pause/>
27,TWTXQ81338V,QH,<move/> 아예 만나지 말았어야 할 사람? 이루어질 수 없는 사람?
28,TWTXQ81338V,BG,<move/> 비슷하기도 하고 <pause/>
29,TWTXQ81338V,QH,그럼 빨리 잊어라. 이루어질 수 있을 거 같은 사람 쳐다보기도 힘들구만.상처 주는 사람은 무조건 잊어! 추억으로 남길 수 있을 때 끝내.
30,TWTXQ81338V,BG,상처는 상천데 <pause/> 추억으로 남길 수 있을까요?
31,TWTXQ81338V,QH,그럼? 상처에 딱지 떨어지면 흐릿해졌다가 흉터도 없어지잖아.
32,TWTXQ81338V,BG,없어지지 않는 흉터도 있거든요.
33,TWTXQ81338V,QH,"<move/> 마혜리, 나한테 유감 있냐? 왜 말꼬릴 계속 잡냐? <pause/>"
34,TWTXQ81338V,BG,<move/>
35,YEOUV69308K,QU,"<move/> 잘렸어요?된 줄 알았는데, 안된 거예요?"
36,YEOUV69308K,TV,<mute/>
37,YEOUV69308K,QU,"그러게 전임도 실력으로 따야지, 여자 등에 업고 <pause/>"
38,YEOUV69308K,TV,<move/>
39,YEOUV69308K,QU,집에 안가요?
40,YEOUV69308K,TV,먼저 가.
41,YEOUV69308K,QU,"<pause/>실망 너무 과도하게 한다.아, 이번에 안됐으면 다음에 되겠지.그 사모님한테 봉사 좀 더 열심히 하고 <pause/>"
42,YEOUV69308K,TV,가라니까.
43,YEOUV69308K,QU,"<move/> 여보 <pause/> <move/> 다 튀겼어, 지금 간다니까. 닭이 없어서 양계장까지 가서 잡아왔어, 됐어? <move/> 그 여자도 그래.그렇게 몇 날 며칠 몸이 부서져라 고생을 시켰으면 전임 좀 달게해주지."
44,GOXYO67595N4,MD,오빠 왜 안 먹어?
