No,serialID,speaker,dialogue,
1,YIHUK64375A,context,"은새, 차갑게 민엽을 보고 선,",
2,YIHUK64375A,context,"민엽, 초조한, 은새를 보는,",
3,YIHUK64375A,NM,<move/> 우리 이미 끝난 사이잖아. 뭘 용서해줘?,
4,YIHUK64375A,MO,<move/> 넌 내가 진짜 싫어?,
5,YIHUK64375A,NM,<move/> <pause/>,
6,YIHUK64375A,MO,"<move/> 난 니가 나한테 못됐게 해도 이쁘구, 화내고 소리쳐도 귀여워. 난 니가 진짜 좋아. 근데 니가 나 정말로 싫다면, 정말로 싫다면...다신 연락 안 하고, 내가 너 포기한다.",
7,YIHUK64375A,NM,<move/>,
8,YIHUK64375A,MO,<move/> 대답해 봐. 내가 정말 싫어?,
9,YIHUK64375A,NM,"<move/> 어, 싫어.",
10,YIHUK64375A,MO,<move/> 정말 싫어?,
11,YIHUK64375A,NM,그래.,
12,YIHUK64375A,MO,"<move/> 나 지금 맘이 넘 아프지만, 알앗어. <move/> 그동안 고마웠다.. <move/> 잘 지내라. <move/>",
13,YIHUK64375A,NM,<move/>,
14,YIHUK64375A,MO,<move/>,
15,YIHUK64375A,NM,"<move/> 야, 이 나쁜 놈아!",
16,YIHUK64375A,MO,<move/>,
17,YIHUK64375A,NM,<move/> 너 되게 멋있는척 한다. 니가 언제부터 그렇게 쿨했냐? 언제부터 니가 내가 싫다그럼 오케이하고 가고 그랬냐고?! 언제부터!!,
18,YIHUK64375A,MO,아니.. 나는 니가 너무 싫다니깐....그럼 내가 어떻게 해야 해 <pause/>,
19,YIHUK64375A,NM,". <move/> 나만 좋다고 하구선 딴 여자를 만나! 순진한 얼굴로 뒤 에서 호박씨 까구, 니가 세상에서 제일 나쁜 놈이야, 알아! <move/> <move/> 고개들어!! 고개들어!! 너 그 기집애랑 뽀뽀했어, 안 했어?",
20,YIHUK64375A,MO,"<move/> 당연히 안 했지! 내가 너 말고 누구랑, 절대 안 했어, 하자고 했는데 안 했어, 내가. 진짜야..",
21,YIHUK64375A,NM,안는건?,
22,YIHUK64375A,MO,"<move/> 절대, 절대.",
23,YIHUK64375A,NM,<move/> 너 거짓말함 죽는다.,
24,YIHUK64375A,MO,응,
25,YIHUK64375A,NM,너 이제부터 죽어도 나 사랑할 자신 있으면 내 뒤 따라오고 아님 가,
26,YIHUK64375A,MO,은새야!,
27,YIHUK64375A,NM,<move/>,
28,YIHUK64375A,MO,나 지금 너 따라가는 중이다.,
29,YIHUK64375A,NM,<move/>,
30,YIHUK64375A,MO,아니 알고나 있으라고 말한거야,
31,YIHUK64375A,NM,<move/>,
32,YIHUK64375A,MO,나 계속 너 따라가면 안되?,
33,YIHUK64375A,NM,<move/> 내 어깨에 손 올려!,
34,YIHUK64375A,context,민엽 너무 좋아 은새 안고 빙글빙글 돌고,
35,YIHUK64375A,MO,나 이제 바람 안필게,
36,UJPIQ75955Z,context,"걸어오는 정은과 유경. 정은, 유경을 돌아보며.",
37,UJPIQ75955Z,MP,<pause/> 너 너무 늦어서 엄마한테 혼나겠다. 어서 가.,
38,UJPIQ75955Z,FG,우리 엄마 요새 나한테 관심 없어 <pause/> 아마.. 이혼할지도 몰라.,
39,UJPIQ75955Z,MP,<move/>,
40,UJPIQ75955Z,FG,"괜찮아 <pause/> 엄마 아빤 헤어져도, 우리는 변함없는 가족이니까.",
41,UJPIQ75955Z,MP,으응 <pause/>,
