No,serialID,speaker,gender,age,occupation
1,WKIMY22168G5,AB,,,
2,WKIMY22168G5,KP,,,
3,ZIJEC40312Z,TQ,,,
4,ZIJEC40312Z,SE,,,
5,FWKOU74507N8,CI,female,20s,전문가
6,FWKOU74507N8,OO,male,30s,전문가
7,GHHWQ62519V,XP,,,
8,GHHWQ62519V,LS,,,전문가
9,WHLBW7791O2,TM,,,
10,WHLBW7791O2,PZ,,,
11,JHMOG78723S,CJ,female,20s-30s,
12,JHMOG78723S,SX,female,20s-30s,
13,UKNIZ55470Z,OT,male,40s,
14,UKNIZ55470Z,JZ,female,20s,일반 서비스직
15,KJDXA29982K,SJ,,,
16,KJDXA29982K,MP,,,
17,OXPTX47655I9,XI,male,50s,전문가
18,OXPTX47655I9,MD,male,50s,관리직
19,IJHVR44119D,WR,male,30s,전문가
20,IJHVR44119D,JX,male,20s,unknown
21,ZRWMC94023F,GP,,,
22,ZRWMC94023F,YQ,,,
23,UXCLY84666X,GD,female,60s+,관리직
24,UXCLY84666X,JP,male,20s-30s,관리직
25,LGSKX64026W,MI,male,20s-30s,관리직
26,LGSKX64026W,RJ,female,40s-50s,일반 서비스직
27,YWPPG69771N,SC,male,10s-,학생
28,YWPPG69771N,GQ,female,10s-,학생
29,CBNSU46131N1,TR,male,20s-30s,일반 사무직
30,CBNSU46131N1,JS,female,40s-50s,관리직
31,CIEIM11644D8,FE,,,
32,CIEIM11644D8,YP,,,
33,TZING77019B,AG,male,40s,서비스 부문 공무원
34,TZING77019B,HS,female,30s,일반 사무직
35,NKYLX23867J0,NZ,female,50s,자영업
36,NKYLX23867J0,IA,female,20s,학생
37,PSAPA37335R,EW,female,30s,unknown
38,PSAPA37335R,QO,female,50s,자영업
39,LVNBG87231D,FI,female,20s,학생
40,LVNBG87231D,CQ,female,,
41,ETMEX87795X1,RU,,,
42,ETMEX87795X1,CS,,,
43,EGCQG47104X,CF,,,
44,EGCQG47104X,EJ,,,
45,WKIMY22168G3,OW,,,
46,WKIMY22168G3,BY,,,
47,KIVLU2965W5,JX,,,
48,KIVLU2965W5,SF,,,
49,HGUBQ34382M,QF,female,20s,전문가
50,HGUBQ34382M,IJ,male,50s,전문가
51,ATQSV10457V,HC,female,20s-30s,단순 노무
52,ATQSV10457V,PH,female,20s-30s,일반 사무직
53,ALNTL66901G,ZS,female,20s-30s,학생
54,ALNTL66901G,DE,male,20s-30s,
55,RRNVO11370C,PL,female,20s-30s,일반 사무직
56,RRNVO11370C,ZZ,male,20s-30s,전문가
57,EYHPG76089O0,KG,male,30s,관리직
58,EYHPG76089O0,ZP,female,30s,일반 사무직
59,ZULXJ84079A,IV,male,,일반공무원
60,ZULXJ84079A,GC,,,
61,OWVIV36300Z,VA,,,
62,OWVIV36300Z,UU,,,
63,CWZFP44517V,UH,male,30s,운동선수
64,CWZFP44517V,XS,male,60s+,운동선수
65,YSFTZ78968T,ME,female,30s,일반 사무직
66,YSFTZ78968T,AY,male,30s,관리직
67,VJLMR93821R1,CK,,,전문가
68,VJLMR93821R1,YE,,,전문가
69,PJYTA64476J2,MR,,,
70,PJYTA64476J2,FF,,,
71,WKIMY22168G4,TI,,,
72,WKIMY22168G4,OX,,,
73,TUTUO45681X,XP,male,20s,운동선수
74,TUTUO45681X,PT,female,20s,전문가
75,YMYGK47756E1,DJ,female,60s+,자영업
76,YMYGK47756E1,TR,female,20s,일반 서비스직
77,SHWPB40934P,DE,male,20s,서비스 부문 공무원
78,SHWPB40934P,GT,female,20s,서비스 부문 공무원
79,KLFDQ19685W1,JJ,male,20s-30s,일반 사무직
80,KLFDQ19685W1,RB,female,20s-30s,단순 노무
81,YVOSS13467A,VB,,,
82,YVOSS13467A,TJ,female,20s,unknown
83,VJLMR93821R6,TD,,,전문가
84,VJLMR93821R6,VG,,,전문가
85,NEKZY40321C,YZ,,,
86,NEKZY40321C,SP,,,
87,GMZKZ1444S,SV,,,서비스 부문 공무원
88,GMZKZ1444S,VD,,,
89,PAATP67298F,TS,male,30s,전문가
90,PAATP67298F,MN,male,40s,일반 사무직
91,SUMIK2052T,PV,,,
92,SUMIK2052T,YO,,,
93,EYINT26739H,YX,male,20s-30s,일반 사무직
94,EYINT26739H,XY,male,,
95,EIJUY62219T,OU,,,전문가
96,EIJUY62219T,GE,,,
97,MIVWP25040U,UU,male,40s-50s,자영업
98,MIVWP25040U,AZ,female,10s,예술가
99,SFLLK6819I8,QS,,,
100,SFLLK6819I8,BY,,,
101,SNWSC58144N6,YJ,,,
102,SNWSC58144N6,VM,,,
103,HTGDK68050G,WD,male,40s-50s,일반공무원
104,HTGDK68050G,ZC,,,전문가
105,QDHVM82861C,CN,female,20s-30s,일반 사무직
106,QDHVM82861C,KV,male,20s-30s,예술가
107,JISUN45713F,ZW,,,
108,JISUN45713F,SC,,,
109,SNHWM53750C,GD,,,
110,SNHWM53750C,RB,,,
111,NTOYD80057B9,FE,female,60s+,자영업
112,NTOYD80057B9,UI,male,30s,운동선수
113,VOLBC7684J,LI,male,20s-30s,전문가
114,VOLBC7684J,WH,male,20s-30s,전문가
115,AYRSC58201Y,NW,male,30s,서비스 부문 공무원
116,AYRSC58201Y,PM,male,30s,서비스 부문 공무원
117,JKPMW11809D2,VD,female,50s,
118,JKPMW11809D2,HJ,female,30s,일반 사무직
119,ETXME34721S,KS,female,20s-30s,학생
120,ETXME34721S,HK,female,,
121,TRGVO47322I1,FP,,,
122,TRGVO47322I1,ON,female,20s-30s,교강사
123,YAZYW66470N,SN,male,20s-30s,교강사
124,YAZYW66470N,NW,male,20s-30s,
125,HRPBX91831B,YS,male,,대학 교수
126,HRPBX91831B,FQ,female,20s-30s,
127,YJMRG46780D9,TO,female,10s,학생
128,YJMRG46780D9,HU,male,20s-30s,단순 노무
129,OWONZ64520X5,MU,male,30s,전문가
130,OWONZ64520X5,UN,female,20s,전문가
131,NDTAS9902Q2,JB,,,
132,NDTAS9902Q2,XY,,,
133,FZOGS69983V,KT,,,
134,FZOGS69983V,JJ,,,
135,HYKOS11327C,JU,female,20s,학생
136,HYKOS11327C,HL,male,20s,학생
137,USKLW75039R,HE,female,40s,전문가
138,USKLW75039R,SL,female,50s,unknown
139,QNARY16325K,DH,male,20s-30s,학생
140,QNARY16325K,VT,,,
141,GXYOD20120Q2,HJ,female,,
142,GXYOD20120Q2,DT,male,50s,관리직
143,IWUGF62004F7,OF,female,20s-30s,단순 노무
144,IWUGF62004F7,IU,male,20s-30s,일반 사무직
145,HOTBU11847C,MO,female,20s-30s,단순 노무
146,HOTBU11847C,SI,male,20s-30s,일반 사무직
147,VVXFW64958F4,CQ,male,20s-30s,일반공무원
148,VVXFW64958F4,IE,male,20s-30s,일반공무원
149,WCUHE40720Z6,IR,male,30s,관리직
150,WCUHE40720Z6,AK,female,20s,관리직
151,FHDRZ26681V9,CH,male,,
152,FHDRZ26681V9,BS,male,20s-30s,전문가
153,DUIQP94477E,CL,male,20s-30s,운동선수
154,DUIQP94477E,US,female,40s-50s,자영업
155,MJQCM10671U,IG,,,
156,MJQCM10671U,WU,,,
157,QADBM11174F,UX,,,
158,QADBM11174F,HS,male,10s,학생
159,VTGZP60801V,TH,female,20s-30s,일반 사무직
160,VTGZP60801V,RW,male,20s-30s,일반 사무직
161,CKXML61519X,FM,male,20s-30s,대학 교수
162,CKXML61519X,AZ,female,20s-30s,
163,FMFFB57382B,WN,male,60s+,관리직
164,FMFFB57382B,NE,male,20s,일반 사무직
165,QLMVY68206K8,DD,female,60s+,
166,QLMVY68206K8,IK,female,20s-30s,전문가
167,CPBTY95904S,YJ,,,
168,CPBTY95904S,CB,female,20s-30s,
169,NSOUF42129R,HX,male,20s-30s,교강사
170,NSOUF42129R,EP,female,20s-30s,교강사
171,NZZXY17235L4,QZ,male,30s,관리직
172,NZZXY17235L4,OV,male,30s,일반 사무직
173,RSDXC26905W2,ME,female,20s,학생
174,RSDXC26905W2,LW,male,10s,학생
175,CYCKV29806G,WM,female,20s,전문가
176,CYCKV29806G,IQ,male,20s,일반 사무직
177,ZDZIF45863F,NJ,male,,
178,ZDZIF45863F,YK,female,,
179,KQSAV72909Z4,UZ,male,40s-50s,전문가
180,KQSAV72909Z4,BW,male,40s-50s,관리직
181,DZIOA90359B,VL,male,30s,관리직
182,DZIOA90359B,CY,male,60s+,관리직
183,XYMBN35808W,ZF,female,30s,
184,XYMBN35808W,DL,male,10s-,
185,OKAQW94575F,UN,male,20s-30s,관리직
186,OKAQW94575F,BT,female,20s-30s,
187,LHJRW19430N,DG,male,40s-50s,일반 사무직
188,LHJRW19430N,IE,male,20s-30s,일반 사무직
189,BBHSL80970X,AK,female,,
190,BBHSL80970X,VZ,female,30s,
191,TBOIY68919P,AY,male,30s,자영업
192,TBOIY68919P,GN,female,50s,
193,PCXFK59516J,QK,male,20s-30s,전문가
194,PCXFK59516J,UZ,female,20s-30s,서비스 부문 공무원
195,KQLOQ31558M,BQ,female,20s,일반 서비스직
196,KQLOQ31558M,CM,male,30s,전문가
197,NADDA47410M,BH,female,20s,전문가
198,NADDA47410M,PY,male,30s,운동선수
199,OXMAQ1946R,RI,,,
200,OXMAQ1946R,FN,,,
201,IWUGF62004F1,VQ,male,20s-30s,일반 사무직
202,IWUGF62004F1,BS,female,20s-30s,단순 노무
203,KCBTA1236R,VO,female,20s,예술가
204,KCBTA1236R,AF,male,20s,일반 사무직
205,APJGY71755J,AT,,,
206,APJGY71755J,PW,,,
207,UXTKR65513Q2,OD,male,30s,관리직
208,UXTKR65513Q2,GK,male,60s+,관리직
209,WSXAB8532F5,VC,female,20s-30s,단순 노무
210,WSXAB8532F5,LL,female,10s-,학생
211,MEPDD98988A,AV,male,20s-30s,전문가
212,MEPDD98988A,EH,female,20s-30s,
213,OONJD49110Y,KD,female,20s-30s,단순 노무
214,OONJD49110Y,GJ,male,20s-30s,일반 사무직
215,SXGCG5700E,LH,female,20s-30s,일반공무원
216,SXGCG5700E,CW,male,20s-30s,자영업
217,GWCXJ81252X,LW,,,단순 노무
218,GWCXJ81252X,WN,female,20s,
219,FNIFK3410B,ZP,male,60s+,관리직
220,FNIFK3410B,SK,male,40s-50s,관리직
221,MKDGN13220W,KY,male,20s,
222,MKDGN13220W,DZ,male,40s,예술가
223,IDBMV55848G,DQ,male,,
224,IDBMV55848G,TM,,,
225,ETLMU46070D1,YL,female,20s-30s,예술가
226,ETLMU46070D1,KI,male,10s,학생
227,AQZVE44982X3,FN,female,60s+,자영업
228,AQZVE44982X3,JF,male,unknown,일반 서비스직
229,AAQIJ75586P,EE,male,20s-30s,단순 노무
230,AAQIJ75586P,YI,male,20s-30s,단순 노무
231,GZIAH96335X8,RJ,,,
232,GZIAH96335X8,KQ,,,
233,XQKJV17919G,NO,male,20s-30s,전문가
234,XQKJV17919G,TB,male,20s-30s,전문가
235,BOBXV97471K,WN,female,20s,일반 서비스직
236,BOBXV97471K,FI,female,20s,일반 사무직
237,UZJGJ10836D,LJ,female,,
238,UZJGJ10836D,TA,male,20s-30s,학생
239,YFCST1279I,XJ,,,
240,YFCST1279I,QR,,,
241,VPBND66594T,AV,female,20s-30s,운동선수
242,VPBND66594T,ZS,,,
243,XDYPB24019F,OR,female,20s,일반 사무직
244,XDYPB24019F,HH,male,30s,일반 사무직
245,MBPDQ10572L0,RJ,male,30s,전문가
246,MBPDQ10572L0,NZ,female,20s,일반 서비스직
247,DFHFG31671X,OX,female,20s,예술가
248,DFHFG31671X,BR,male,40s,관리직
249,ZCUQY56824Y,OM,female,20s-30s,
250,ZCUQY56824Y,MX,male,20s-30s,관리직
251,ITQPS48090S3,YP,,,
252,ITQPS48090S3,WN,,,
253,PIXZD25368C2,WX,female,20s,예술가
254,PIXZD25368C2,HR,male,30s,관리직
255,VOPQK29106U,GX,male,40s,전문가
256,VOPQK29106U,CY,male,50s,전문가
257,PBJHQ83524U,IX,male,60s+,관리직
258,PBJHQ83524U,BZ,male,50s,전문가
259,OOMIL28357M7,OD,male,20s-30s,전문가
260,OOMIL28357M7,XE,male,20s-30s,전문가
261,HKOAR23130B,AW,,,
262,HKOAR23130B,DA,,,
263,OHVWA43719G,KA,male,20s-30s,학생
264,OHVWA43719G,TP,female,10s,학생
265,MEERR9313I,HQ,male,20s-30s,unknown
266,MEERR9313I,WB,male,20s-30s,전문가
267,XHMJZ10870S9,JA,male,30s,운동선수
268,XHMJZ10870S9,IL,female,20s,전문가
269,JUBVJ4075B4,DP,female,20s,전문가
270,JUBVJ4075B4,JD,male,30s,전문가
271,CDFZJ62517C,RR,female,20s,학생
272,CDFZJ62517C,LS,male,20s,학생
273,NWYKU89298J,XQ,male,20s,일반 사무직
274,NWYKU89298J,MS,female,20s,예술가
275,PPYXG12996Z6,IU,,,
276,PPYXG12996Z6,HA,,,
277,YJINR79174F,HV,male,50s,unknown
278,YJINR79174F,VU,female,50s,자영업
279,TNJWU0567A0,HK,,,
280,TNJWU0567A0,NG,,,
281,ESRRK48222H,NU,male,50s,전문가
282,ESRRK48222H,ZB,male,30s,전문가
283,IWTRK16570P,BE,male,30s,전문가
284,IWTRK16570P,TB,female,20s,일반 사무직
285,NJFFZ73023Y,DO,male,30s,전문가
286,NJFFZ73023Y,NJFFZ73023Y_DO모,female,60s+,자영업
287,SBYRG45481Q,CY,female,20s-30s,단순 노무
288,SBYRG45481Q,ZP,male,10s,학생
