No,serialID,scene_description,place,purpose,other_purpose,,,
1,WKIMY22168G5,동네 길(낮),,,,,,
2,ZIJEC40312Z,일식집 방(밤),,,,,,
3,FWKOU74507N8,빙상장 (밤) <SPACE>,,,,,,
4,GHHWQ62519V,S  B 로젯 안,Hospital/Pharmacy,,,,,
5,WHLBW7791O2,뮤지컬극장 앞,,,,,,
6,JHMOG78723S,근린공원,,,,,,
7,UKNIZ55470Z,엘리베이터 안,Others,,,,,
8,KJDXA29982K,거리 + 혜리 차 안,,,,,,
9,OXPTX47655I9,"서울경마공원 장안소, 아침",Others,,,,,
10,IJHVR44119D,신림동 마당 (낮),Home,,,,,
11,ZRWMC94023F,민우의 집 거실,,,,,,
12,UXCLY84666X,차 안 (현재),,,,,,
13,LGSKX64026W,사장실,Office,,,,,
14,YWPPG69771N,분식점 앞(야외),Others,,,,,
15,CBNSU46131N1,윤재 차안(낮),Others,,,,,
16,CIEIM11644D8,윤희의 집 마당(아침),,,,,,
17,TZING77019B,경찰서 교통사고 처리반 / 오전,Public service center,토론하기,,,,
18,NKYLX23867J0,은님 거처 빌라 거실,,,,,,
19,PSAPA37335R,신림동 마루 (낮),Home,,,,,
20,LVNBG87231D,동 마루,,,,,,
21,ETMEX87795X1,대회의실 (N),Office,토론하기,,,,
22,EGCQG47104X,혜리 빌라 현관 앞,,,,,,
23,WKIMY22168G3,커피숍 (낮),,,,,,
24,KIVLU2965W5,비서실(아침),,,,,,
25,HGUBQ34382M,수술장 밖 (오후),,,,,,
26,ATQSV10457V,CF 촬영스튜디오(회상) 낮,Others,,,,,
27,ALNTL66901G,고두영의 오피스텔 (낮),Home,,,,,
28,RRNVO11370C,휴게실(낮),Others,토론하기,,,,
29,EYHPG76089O0,납골당 앞 / 오전,Others,,,,,
30,ZULXJ84079A,병원 원장실 / 낮,,,,,,
31,OWVIV36300Z,휴게실,,,,,,
32,CWZFP44517V,일각 거리 (아침),,,,,,
33,YSFTZ78968T,"리무진 안, 골프장 (낮)",Others,,,,,
34,VJLMR93821R1,"D, 병원, 중환자실",Hospital/Pharmacy,설명하기,,,,
35,PJYTA64476J2,혜리 검사실,,,,,,
36,WKIMY22168G4,경찰서(낮),,,,,,
37,TUTUO45681X,연우의 진료실 (아침),,,,,,
38,YMYGK47756E1,승준모의 안방 (밤),Home,,,,,
39,SHWPB40934P,"N, 사이버 수사1팀 사무실",Office,설명하기,,,,
40,KLFDQ19685W1,콘도 로비 낮,Hotel(lobby),상담하기,,,,
41,YVOSS13467A,석란의 회사 (낮),,,,,,
42,VJLMR93821R6,"D, 중환자실",Hospital/Pharmacy,,,,,
43,NEKZY40321C,삼식의 디저트 가게 앞 / 오전,Others,제안하기,,,,
44,GMZKZ1444S,분류심사원 강당 (안/오후),,,,,,
45,PAATP67298F,다시 로비 일각 (아침),,,,,,
46,SUMIK2052T,민우의 집 다른 방,,,,,,
47,EYINT26739H,사무실 안,Office,,,,,
48,EIJUY62219T,실외 월드컵 점프대 밤,Others,설명하기,,,,
49,MIVWP25040U,모 편의점 앞 / N,,,,,,
50,SFLLK6819I8,윤희의 집 마당(밤),,,,,,
51,SNWSC58144N6,길(밤),,,,,,
52,HTGDK68050G,INT 작전봉고/ 낮,Others,,,,,
53,QDHVM82861C,아틀리에(낮),Others,상담하기,,,,
54,JISUN45713F,탈의실안,,,,,,
55,SNHWM53750C,희섭의 집 앞(밤),,,,,,
56,NTOYD80057B9,연우의 집 앞 거리 (낮),,,,,,
57,VOLBC7684J,지검 복도 /D,,,,,,
58,AYRSC58201Y,"N, 지하철 일각",Train station,,,,,
59,JKPMW11809D2,연재의 집 앞 (아침),Home,인사하기,,,,
60,ETXME34721S,"지영집 (안,밖/밤)",,,,,,
